Unnamed: 0,toxic,FormalCharge,NHOH,HAcceptors,AromaticRings,SaturatedRings,AromaticOH,AromaticN,kfold,MolWt_tran,LogP_tran,TPSA_tran
208,0,0,2,2,1,2,1,0,0,-0.2363996675673575,0.7586838832467995,-0.6694661777786002
939,0,0,1,3,0,1,0,0,0,-0.4665864735114519,-0.1240457256457478,-0.1396365093745357
692,0,0,0,4,0,3,0,0,0,0.4049597842691251,1.4660349197667506,-0.2470104429767781
1147,1,0,5,8,0,2,0,0,0,-0.0078701159886149,-0.993492604319443,0.8713854957977814
1182,0,0,0,1,0,1,0,0,0,-2.0323255851365496,-0.3148941092115278,-1.291348382751027
1109,0,0,0,4,0,3,0,0,0,0.198874826084352,1.0286974163152995,-0.2470104429767781
16,0,1,4,1,1,0,0,2,0,-2.0162710849773178,-0.7789948891231971,-0.3247928302038568
1046,0,0,4,4,2,0,1,0,0,0.0172809297742126,-0.2568621739568761,0.4710129044739609
1440,0,0,2,1,2,0,0,0,0,-0.6620084834326415,0.6673782428740029,-0.5321286289574131
668,0,0,4,9,4,0,1,2,0,1.4929967828747992,1.7341576405777006,0.8606456982420109
426,0,0,1,1,0,3,1,0,0,-0.2876632747844657,1.3784564469787943,-1.2945606902145497
96,0,-3,22,27,3,1,1,1,0,3.1517335127865462,-3.0104924931005503,3.664467689081119
327,0,0,1,4,1,0,0,0,0,0.1445247082686626,-0.4890156200407087,-0.3356796761273544
188,0,0,4,7,2,0,1,4,0,-0.7512378711118446,-0.9143673367936692,0.5818448310913722
1098,0,0,1,8,3,0,0,6,0,-0.3623517072408657,-0.1804891691112178,0.5405528067354441
981,0,0,2,6,0,3,2,0,0,0.5489459665321836,0.722155491869178,0.3652390405537701
215,1,0,2,3,2,0,0,0,0,-0.2369355898180748,0.5380046797438377,-0.0373406531530713
101,0,-1,7,9,1,0,1,0,0,1.0763969922179752,-1.730845080580142,1.4763816770111524
102,0,1,2,9,3,2,0,1,0,1.24225268918534,0.5737540947299962,0.5810573066037028
791,0,-1,2,5,1,1,2,0,0,0.2846651645690525,0.2215488442883157,0.2186454947276181
1269,0,0,6,7,3,0,0,4,0,-0.5323010233399831,-0.2876532266183698,0.6970718854913404
1282,0,1,2,1,1,0,0,0,0,-1.3651237646415817,-0.7477634984788739,-1.0826546347410266
1119,0,0,1,5,1,0,0,0,0,0.2585473500746811,0.902962324229394,-0.1717461074332933
700,0,0,7,6,1,1,0,0,0,0.8025978331002402,-1.2068835237358004,1.2058309312753672
907,0,0,4,5,2,0,0,0,0,0.4365741429658484,-0.0097960828399233,0.5740672991462612
689,0,0,5,4,1,0,0,0,0,-0.9969104225956836,-1.0775481778042115,0.4558852200782158
1285,0,1,1,2,1,0,0,1,0,-1.6571602183354976,-0.4557832825814231,-0.7712189762805596
732,0,-1,1,3,1,0,0,0,0,-1.183048897405278,-0.7863353438979459,-0.0930815979088759
9,0,-2,2,8,0,3,2,0,0,0.6500975551677158,-0.3160974696786801,0.8726394283590023
1123,0,1,2,1,1,1,0,0,0,-0.2813394361744804,0.3097185799866984,-0.8511396905892631
548,0,1,2,2,2,0,0,0,0,-0.2087822464553878,-0.2201624005634259,-0.4094644320948697
795,0,0,3,5,1,0,0,0,0,-0.9880793317958386,-0.496136842056711,0.6340753343036262
93,0,0,2,2,2,0,0,0,0,-0.3890913733134291,0.1318241226338929,-0.2521730514000058
779,0,0,4,3,1,0,0,0,0,-1.1522547074336802,-1.0065995343040317,0.1933248483324391
841,0,1,1,3,2,1,0,0,0,0.2751673307824497,0.7064760879127008,-1.1255087474606975
544,0,-1,1,6,1,0,0,0,0,-0.1867959295671081,-0.1792416476470716,0.7066671671847068
688,0,0,4,4,2,0,0,0,0,-0.5693093507689736,0.0114515916135743,0.167620550632163
960,0,2,3,1,2,0,0,1,0,-0.0800160869766878,0.4390129343930141,-0.936213001639976
1270,0,0,1,1,0,1,1,0,0,-1.4218103411106382,0.2943824299424251,-1.2945606902145497
285,0,0,2,1,2,0,0,1,0,-0.6461744540827064,0.5620613786838288,-0.5646061751712009
123,0,0,1,2,1,0,0,0,0,-0.4878673443057501,0.3436967531959531,-0.7228418073095517
888,0,1,2,4,2,1,1,0,0,0.3909548406471197,0.7370092257551761,-0.5625545418949728
126,0,0,4,5,1,0,0,0,0,-0.2279013447254378,-0.655330297466892,0.5740672991462612
104,0,1,4,1,1,0,0,0,0,-1.033853102706276,-0.2744854717370603,-0.3166789091223036
1183,0,0,2,4,2,0,0,0,0,-0.0493799933983177,0.8597453015320375,0.2548545960893347
260,0,0,1,1,1,0,0,0,0,-0.9133780595787686,0.9616913848383482,-1.2945606902145497
18,0,0,8,11,0,2,8,0,0,0.037030149558703,-1.8210545084401235,1.245287609792753
1266,0,0,2,2,1,2,1,0,0,-0.3957700473133037,0.7572997307054825,-0.6694661777786002
552,0,2,3,4,2,1,1,0,0,0.2649122101633525,-0.6912357270538837,-0.4292764971567231
599,1,0,2,4,4,0,0,2,0,0.7293106019114987,1.5754635943588595,0.2474021656015819
748,0,-1,1,6,3,0,0,2,0,0.4461530766121218,-0.0572138184288965,0.3452038790003471
1457,0,0,0,2,2,0,0,0,0,0.0944570685242364,0.9535064324602852,-0.8758276768205575
1379,0,0,0,1,0,0,0,0,0,-1.2898939792003965,0.1593261496298915,-1.861278456428019
1364,0,1,2,3,1,1,1,0,0,-0.2621498968202111,-0.3113144866566571,-0.4321881282803704
110,0,0,2,4,0,2,2,0,0,-1.542979824453135,-0.9548569204310527,-0.2752472161119456
515,0,1,4,1,1,0,1,0,0,-1.4693882719890576,-0.4459141091416063,-0.4981899945962737
691,0,1,1,2,2,0,0,0,0,-0.0593868714189985,0.2776746084488518,-0.7452555269070418
535,0,-1,1,4,0,0,0,0,0,-1.354315719494628,-1.0367375826188754,-0.0930815979088759
1389,0,0,2,2,1,3,0,0,0,0.8777798085274822,2.033541863654196,-0.2888066685655099
1397,0,1,2,0,0,2,0,0,0,-1.2869910533568254,-0.0928829720394271,-1.4502642751600034
239,0,-1,2,5,1,0,0,0,0,0.2683462329416756,-1.1491356813483318,0.5218189553633359
1394,0,1,1,3,3,0,0,0,0,1.275076000323578,1.5644947508526452,-0.5878355019878896
1348,0,0,0,1,0,0,0,0,0,-0.9703598500809,0.2881339443013015,-1.861278456428019
1395,0,-1,1,3,1,1,0,0,0,-0.1126088578044478,0.10063458489179,-0.0930815979088759
752,0,0,0,3,0,4,0,0,0,0.1362824468199755,1.4111111683952922,-0.599711492447174
554,0,0,0,5,0,5,0,0,0,-0.2238779106203394,0.4500658155546946,-0.5361482405568466
314,0,1,1,1,1,2,0,0,0,-0.3956043631447521,0.115537044578977,-1.5951347297925893
922,0,1,4,1,2,0,0,0,0,-0.1549836121242272,0.199563773076198,-0.2606923367318122
1027,0,1,1,3,1,2,1,0,0,-0.1005466481014383,0.3008288969792577,-0.5276755556893341
574,0,0,3,5,0,3,3,0,0,0.2090081773638434,0.0553318722541686,0.2864710850758747
512,0,-2,2,16,3,1,0,4,0,1.3840205787245912,-0.9261927576155772,1.5391536636292324
863,0,0,3,6,1,0,0,2,0,-0.7757747860953488,-0.7922334820661147,0.5361757380256609
439,0,0,4,8,2,1,2,4,0,-0.1905404331714903,-0.6547972028271398,0.584766969201959
1443,0,1,3,2,1,0,0,1,0,-0.5841867095457086,0.0444097778886097,-0.009860650845608
539,0,1,3,3,1,1,0,0,0,0.4085357768193033,0.2848013390546639,-0.179833244026387
1425,0,0,25,46,10,1,0,0,0,3.257872179831298,1.2702649044244043,3.8492712641915774
1413,0,1,2,5,0,5,1,0,0,0.8412556961949634,0.8493404261977606,-0.1130596195221458
361,1,0,1,3,1,0,0,0,0,-1.1627095653718404,-0.122808029785317,-0.1899126996912569
949,0,0,2,3,0,1,0,0,0,-0.6147090322957165,-0.1087069197084448,-0.2888066685655099
1093,0,0,5,8,1,1,3,3,0,-0.6004138620388073,-1.3116292495967177,0.84055487883208
538,0,1,20,19,1,1,0,0,0,2.884016499420147,-2.2951027364571828,3.06982532355646
946,1,0,1,2,1,0,0,0,0,-0.388960640316033,0.8941222506647426,-0.6675011391478088
715,0,-1,0,2,0,0,0,0,0,-0.2172004527346834,1.0291993555094576,-0.6776015571111978
1120,0,1,0,0,2,1,0,0,0,-0.3545582004344672,1.0672466221789252,-3.083121638508983
631,0,0,5,8,2,0,2,4,0,-0.5178324174985853,-1.0707678771347129,0.7965265101468775
1216,0,1,5,3,2,0,0,0,0,-0.1713739683553791,0.0203570746893579,0.0362154332038623
1085,0,-1,2,11,2,1,1,4,0,0.6128133277974773,-0.9711818939753092,0.9329269801825432
342,0,1,0,3,2,0,0,0,0,0.1781236014118963,1.2245195309286647,-0.7963422502669112
146,0,1,2,6,3,1,1,3,0,0.4642823590394497,0.0043172076353799,0.1592031878482944
725,0,1,1,1,2,0,0,1,0,-0.6223164199648149,0.034954895814996,-1.4175350884889713
1423,0,1,0,2,1,0,0,1,0,-1.1520122330227158,-0.3746892286088723,-0.8545175438890118
1255,0,0,3,3,0,0,0,0,0,-1.7378217603652055,-1.23474147798929,0.1484420531683654
357,0,1,2,0,1,0,0,0,0,-1.4929719114045577,-0.2952695400751149,-1.4502642751600034
702,0,0,0,4,0,2,0,0,0,0.0083437016993602,-0.5025528388926503,-0.398639208532628
679,0,0,0,2,1,0,0,0,0,0.5667913552832784,3.233394300947566,-0.8343786698930112
371,0,2,0,12,4,0,0,0,0,2.004708143893533,2.717145679822683,0.6631501616014837
505,0,1,2,4,2,1,1,0,0,0.359733638810875,0.3274877511105181,-0.9201103974202536
27,0,1,1,1,2,0,0,0,0,-0.5095226013340272,0.1046812891022774,-1.5951347297925893
320,0,-4,0,7,1,0,0,0,0,-0.1236929999805033,-0.6847263787677244,0.6625041760630521
471,0,0,2,7,2,0,0,0,0,0.7634859201678768,-0.4857865233589265,0.6126301720542594
129,0,0,1,2,1,0,0,0,0,-0.1243568389067566,1.6594742782744407,-0.9711917128969484
273,0,0,1,1,0,3,1,0,0,0.3196754285969367,2.519793907774357,-1.2945606902145497
1340,0,0,0,3,0,3,0,0,0,0.0267788260362473,0.9439585590982948,-0.599711492447174
367,0,0,1,3,3,0,0,3,0,-0.2495323132438707,0.2824350895563846,-0.3720163053264361
407,0,0,0,4,1,0,0,1,0,0.5507969323101967,0.1320854077627293,-0.4888542975456131
1268,0,-1,0,2,2,0,0,0,0,0.0657146222729705,1.2407941044955315,-0.6776015571111978
1422,0,0,5,8,0,1,4,0,0,-0.445861560833398,-1.2844337451864,0.9193234991107472
886,0,1,3,0,1,0,0,0,0,-1.6695649237410537,-0.2788336001037789,-1.0285889672304127
1077,0,0,3,14,2,3,2,0,0,1.790476624504132,1.1553613054366398,1.3462787250262636
1366,0,-1,2,5,3,0,0,2,0,-0.1310495914102708,0.4531259179282761,0.2495734833126723
1212,0,0,2,6,0,3,2,0,0,0.3574267662795262,0.2610638261256,0.3652390405537701
280,0,0,0,4,2,0,0,0,0,-0.6155871079497993,0.3621914333271862,-0.398639208532628
542,0,0,2,4,0,3,2,0,0,0.2191886228194975,0.4265689988033128,-0.0059049701695037
856,0,1,2,1,1,2,0,0,0,-0.3143517769707544,0.2105651344517804,-1.1283030645647905
65,0,0,1,1,0,0,1,0,0,-0.3008975332765735,1.560651133524059,-1.2945606902145497
145,0,0,3,7,1,2,2,1,0,0.7951343014572692,0.9386570739900418,0.5013620652121696
759,1,0,2,11,3,2,1,1,0,1.6481645401045364,1.234225418556261,0.7414720801349488
244,0,2,0,14,4,0,0,0,0,2.213426207062972,3.171990121015577,0.8520887435035633
506,0,-1,2,6,2,0,0,2,0,-0.4169864710502123,0.0624077926425296,0.3542927103324388
449,0,4,19,11,0,3,7,0,0,0.7237390572303046,-2.7368847703083587,1.923807350620717
894,0,1,8,8,0,0,0,0,0,0.9974213583357112,-0.4914027683236427,1.384171858371768
1399,0,0,1,3,2,0,0,2,0,-0.8700474791594385,-0.0128443989777946,-0.0879181491972014
1272,0,-1,0,5,0,2,0,0,0,-0.6940989800318477,-1.10851490983889,0.2831491765775382
43,0,1,1,2,2,0,0,0,0,-0.3076464786214226,0.4434399348214995,-1.9744109041007016
1043,0,2,19,14,5,1,1,1,0,3.092003714076081,-0.9726102203819962,2.7420704036315096
1073,0,1,1,2,2,0,0,0,0,-0.0919506807028632,0.7037643550653965,-1.9744109041007016
742,0,-1,2,4,0,2,2,0,0,0.1306874448044936,0.205685733941688,0.0861201907733977
1369,0,0,3,4,2,1,0,0,0,0.4508393458730719,-0.46195896469399,0.2740811466738224
406,0,0,3,2,0,0,0,0,0,-2.717597341363489,-1.3139441414903867,-0.1176276425413093
893,0,1,6,3,2,0,1,0,0,-0.0360615957117106,-0.1932187596306681,0.3558242078054245
988,0,-2,2,8,1,0,1,0,0,0.4355045195038219,-0.5074141183723728,0.9839611630545018
1230,0,0,1,1,1,0,0,2,0,-2.5627948896478783,-0.3262989358208294,-0.9954729937915784
900,0,-1,2,6,2,0,0,2,0,-0.2561565428122236,-0.1476996753696274,0.4669433798967999
1154,0,1,2,1,2,0,0,0,0,-0.8694871862568634,-0.4093998542317042,-1.0826546347410266
1341,0,0,2,5,1,1,0,0,0,0.2191121129020746,-0.7658407531508276,0.3960553803866373
284,0,-1,3,6,0,0,3,0,0,-1.2146163328980089,-1.2192858118694594,0.4776956235180751
1031,0,0,5,6,1,2,0,0,0,0.1620015539877501,-1.0843392289383718,0.7776760166686986
969,0,1,3,1,1,0,0,0,0,-1.1615722298469822,-0.1219095771559409,-0.7606686678882758
808,0,0,1,3,0,1,0,0,0,-0.6824176271667649,0.2224587379007713,-0.2227216139095236
1330,1,0,1,4,4,0,0,3,0,0.0620994010309531,1.345024800908128,-0.4378197437806908
242,0,2,6,4,0,0,0,0,0,-0.3818656494196447,-0.6643139367029977,0.333226965239456
870,0,0,0,4,2,0,0,1,0,0.0875499852610605,1.0978465079896025,-0.7010412158656043
265,0,0,1,3,2,0,1,1,0,-0.3147761585031332,0.2055344984726311,-0.3818435691105241
465,0,-1,1,5,0,2,1,0,0,0.2844033000562841,0.5029688589651659,0.1744377276740099
890,0,-1,0,3,1,1,0,1,0,-0.913950920961256,0.3370231775262856,-0.5607333453459521
82,0,1,5,14,0,3,4,0,0,1.6790774160762894,-0.1159761773732102,1.3365642367279116
419,0,0,2,2,1,0,0,0,0,-2.0488379901601403,-0.1971745762624956,-0.6694661777786002
1224,0,1,2,4,1,1,1,0,0,0.0546064871683633,-0.2947646291286004,-0.1874310041861424
301,0,1,1,4,2,1,0,0,0,0.5405044532439609,0.148121966314993,-0.5607333453459521
463,0,-1,1,3,1,0,0,0,0,-0.3727810976202292,0.3261002293507902,0.0368313540177515
744,0,2,8,2,2,0,0,0,0,0.037844021019039,-0.7658939445757896,0.611191616301454
997,0,0,1,1,0,0,1,0,0,-0.0523722296998027,2.5937662825070213,-1.2945606902145497
1161,0,0,5,8,3,0,0,2,0,0.1829470013072358,0.4108372544981744,0.5647813263164099
186,0,0,5,5,0,3,0,0,0,0.8446642463181941,0.0214531419230158,0.9078041447321148
724,0,-4,0,8,2,0,0,0,0,-0.0319913082012266,-0.6791599233189031,0.8515039342207271
1074,0,-1,2,4,0,2,0,0,0,-0.6072992964216126,-0.7069805637550178,0.0961011097640728
1145,0,-1,1,6,1,2,0,0,0,0.0761884171021946,-0.7340480253446324,0.3380018031530173
881,0,-2,1,3,0,0,0,0,0,-2.272588665007864,-1.1233577628158111,0.1278767949113406
316,0,-1,1,7,2,2,0,1,0,0.3379396446502342,-0.378244561841537,0.5422777053078265
138,0,1,3,3,2,0,1,1,0,0.1038192213028704,-0.3921229759143863,-0.27937761186738
332,0,1,1,5,2,0,0,0,0,0.5878532818638512,0.7845240035624713,-0.1626541604756387
61,0,-2,5,8,1,0,2,0,0,0.5307834019251163,-1.668587365619456,1.259494627632308
490,0,0,1,4,3,0,0,3,0,0.182651063473225,0.71912281413476,-0.1159342470867956
667,0,0,1,2,0,0,1,0,0,-2.694171424467949,-0.6619392606829716,-0.9711917128969484
1243,0,-1,6,11,2,1,3,0,0,0.9290476220437374,-1.0728224537666975,1.4278739081241183
195,0,0,0,3,2,1,0,0,0,0.2934503860578131,1.826413666060777,-0.7963422502669112
0,0,1,1,3,1,2,1,0,0,-0.018545195448793,0.4552844415619059,-0.5276755556893341
20,0,1,1,2,1,1,0,0,0,-0.5690157898415874,-0.3002467558841907,-0.9323180723226874
251,0,0,1,3,1,0,0,0,0,-1.4701967470806576,-0.1689736993110641,-0.5276755556893341
1334,0,1,1,0,0,0,0,0,0,-1.4126107458715946,-0.5601911788618918,-2.2705031364538315
1242,0,1,2,1,2,1,0,1,0,-0.1403119017807052,0.5098843698363568,-0.9699589012109966
1018,0,0,0,2,2,0,0,0,0,-0.3122113380411947,0.5738338032209529,-0.8758276768205575
1454,1,0,2,7,2,1,1,1,0,0.4088474513000653,0.0701428641729476,0.478410158322343
33,0,-1,2,8,0,3,2,0,0,0.612922920110649,-0.2777843762645576,0.8140007078019081
275,0,0,3,8,4,0,0,4,0,0.5092059290539679,0.5679534170005723,0.5816198585567502
729,1,0,2,3,2,0,0,4,0,-1.469804356812917,-0.2256053098430128,-0.3047801655105766
730,0,0,1,7,0,3,1,0,0,0.8022630081675383,0.7208579645820348,0.440628673056505
448,0,0,1,3,1,1,0,0,0,0.199101472248361,1.8935675554402105,-0.5276755556893341
442,1,0,1,5,2,1,0,1,0,0.1144382078432805,0.5761456891347643,-0.1088416661698064
408,0,-2,2,9,2,0,0,4,0,-0.3092066306354482,-0.9101968526386316,0.8240138714641032
804,0,1,4,3,2,0,0,1,0,-0.4805661593901514,0.1527283541260406,-0.222359268920221
985,0,0,0,2,0,0,0,0,0,-1.9389974622155788,-0.9704921214372544,-0.6776015571111978
986,0,0,5,7,2,1,2,4,0,-0.3622498584118788,-0.7847793821819611,0.7016120248233587
12,0,1,3,4,2,0,0,3,0,0.3755782423582741,-0.1264846347535902,0.0570282491158582
1089,0,1,1,2,1,1,0,0,0,-0.2749313098958807,0.3203605030981815,-0.9323180723226874
1025,0,-2,3,12,0,0,0,0,0,0.790556655711465,-2.4762277875279377,1.3879915507430738
1028,0,1,2,8,3,2,1,2,0,1.0866636068434732,0.3849327740535766,0.5403226968098828
6,0,0,3,2,0,1,0,0,0,-1.410891377856637,-0.8849934227503041,-0.1176276425413093
68,1,0,1,4,2,0,0,0,0,0.4074329086700001,0.8913148842369305,-0.1963124121894451
1281,0,0,3,5,1,0,1,0,0,-0.6232055817799198,-0.3881582742351578,0.2350002342622098
1199,0,1,1,1,1,1,1,0,0,-0.100021751779728,1.2203926524564197,-1.2945606902145497
704,0,1,1,0,2,0,0,0,0,-0.3545582004344672,0.4151221974862029,-2.2705031364538315
521,0,1,1,3,2,0,0,0,0,-0.0356628675569673,0.5438790424269834,-1.4365096955482477
537,0,1,2,2,3,0,0,0,0,-0.2235482677507047,0.7554680836457722,-1.088057448253429
1447,0,1,2,1,1,1,0,0,0,-0.2813394361744804,0.3097185799866984,-0.8511396905892631
699,0,-2,3,16,1,2,0,4,0,1.0387946477372314,-1.5431236118451184,1.515940948145441
1138,0,1,1,3,2,1,0,0,0,0.2114876339679986,0.5775411102250282,-1.7514900964627775
993,0,-1,2,9,3,0,0,4,0,0.5351245724223759,-0.468266256399497,0.9487567582515506
1421,0,2,4,6,1,0,0,1,0,-0.0127149695283946,-0.860889002118732,0.2088124382884709
318,0,1,3,3,1,1,1,0,0,-0.1610653026071883,-0.1025623204436708,-0.3446816817147367
258,0,-2,0,4,0,0,0,0,0,-1.1022176798540475,-0.7729574851675873,0.0811820501332515
32,0,1,3,2,2,1,0,1,0,-0.2883438755666873,-0.3960811974064275,-0.2820118761844014
1048,0,0,1,3,0,4,1,0,0,-0.1733702792770301,0.7304316168068513,-0.5276755556893341
1393,1,0,3,8,2,1,0,1,0,0.6627983201748497,0.2042113519703526,0.864038548352311
1347,0,1,6,13,0,3,5,0,0,1.5314577425538118,-0.4401673453200306,1.2895036938875537
182,0,1,5,3,1,0,2,0,0,-0.6303331700048661,-0.4681784438216594,0.0362154332038623
1155,0,1,5,6,3,1,2,1,0,1.1758871583388295,-0.0730993380439221,0.5838683447692073
958,0,0,3,3,0,4,3,0,0,0.3957491959058538,1.3785856957223808,-0.242415569805776
1291,1,0,1,4,1,1,0,0,0,-0.4959497909564969,-0.5274354652628767,0.129770060528105
850,0,0,1,4,2,1,0,0,0,0.2816145984293579,-0.431278787518472,-0.3109097827333611
855,0,0,0,2,2,0,0,0,0,0.2712275773390937,1.3508700997049756,-1.4978768349755218
